City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,narsaq,60.92,-46.05,42.8,75,75,4.7,GL,1594109756
243,port blair,11.67,92.75,83.32,74,100,9.28,IN,1594109699
244,quesnel,53.0,-122.5,55.4,100,90,2.24,CA,1594110158
245,acari,-15.43,-74.62,57.78,71,74,4.83,PE,1594109790
246,tabuk,17.42,121.44,90.05,55,72,0.89,PH,1594110158
247,nouna,12.73,-3.87,85.6,52,38,5.91,BF,1594110159
248,de aar,-30.65,24.01,48.2,34,100,2.24,ZA,1594110159
249,gamboma,-1.88,15.86,83.32,49,60,5.37,CG,1594110159
250,luderitz,-26.65,15.16,60.8,51,100,9.17,NA,1594110159
251,castlegar,49.3,-117.67,57.0,59,84,1.99,CA,1594110160
252,dingle,11.0,122.67,87.46,68,99,9.91,PH,1594109669
253,port elizabeth,-33.92,25.57,59.0,77,75,25.28,ZA,1594109682
254,north platte,41.12,-100.77,72.0,83,1,17.22,US,1594110160
255,kalemie,-5.95,29.19,77.5,50,24,15.9,CD,1594110160
256,san juan,-31.54,-68.54,38.26,74,10,1.7,AR,1594110161
257,vestmanna,62.16,-7.17,46.4,75,95,14.99,FO,1594110161
258,kaitangata,-46.28,169.85,44.01,77,100,11.01,NZ,1594109681
259,upernavik,72.79,-56.15,43.61,68,36,7.36,GL,1594109688
260,thunder bay,48.4,-89.32,60.01,100,20,3.36,CA,1594109998
261,paamiut,61.99,-49.67,41.04,90,100,14.0,GL,1594110162
262,darnah,32.77,22.64,79.39,63,0,20.83,LY,1594110162
263,maldonado,-34.67,-54.92,48.2,70,75,11.41,UY,1594110162
264,atasu,48.68,71.64,76.15,40,87,5.35,KZ,1594110163
265,umea,63.83,20.26,60.8,67,75,5.82,SE,1594110163
266,purwodadi,-7.09,110.92,89.6,62,20,5.7,ID,1594110163
267,west plains,36.73,-91.85,70.0,94,1,1.59,US,1594110163
268,pampa,35.54,-100.96,71.6,83,1,6.93,US,1594110163
269,kuytun,54.34,101.5,85.19,34,80,3.31,RU,1594110164
270,sao filipe,14.9,-24.5,74.43,77,9,3.6,CV,1594109611
271,santa pola,38.19,-0.57,84.99,26,0,3.36,ES,1594110132
272,peace river,56.25,-117.29,57.99,87,75,4.7,CA,1594110164
273,kaihua,23.37,104.28,80.56,68,100,12.53,CN,1594110164
274,swan river,52.11,-101.27,55.87,88,0,4.97,CA,1594110165
275,harper,4.38,-7.72,75.47,83,100,6.85,LR,1594109745
276,hofn,64.25,-15.21,51.8,71,20,3.36,IS,1594109805
277,chuy,-33.7,-53.46,44.71,80,92,6.17,UY,1594109674
278,berlevag,70.86,29.09,50.0,81,75,17.22,NO,1594109679
279,xining,36.62,101.77,83.73,25,0,5.37,CN,1594109777
280,castro,-24.79,-50.01,57.56,94,92,3.04,BR,1594109429
281,mangan,27.52,88.53,84.72,54,89,3.85,IN,1594110166
282,saint-augustin,51.23,-58.65,54.64,78,80,6.38,CA,1594109914
283,carauari,-4.88,-66.9,71.47,98,100,1.9,BR,1594110166
284,itoman,26.12,127.67,87.8,84,75,16.11,JP,1594110166
285,robertsport,6.75,-11.37,77.16,80,100,5.88,LR,1594110167
286,sorsk,54.0,90.25,68.38,75,44,8.66,RU,1594110167
287,jalu,29.03,21.55,83.25,43,0,11.92,LY,1594109751
288,sobolevo,54.43,31.9,71.06,88,72,5.37,RU,1594109812
289,cockburn town,21.46,-71.14,83.1,77,93,17.45,TC,1594110168
290,ostrovnoy,68.05,39.51,62.24,59,15,25.01,RU,1594109766
291,yarada,17.65,83.27,89.6,75,75,16.11,IN,1594109965
292,paita,-5.09,-81.11,63.7,84,61,11.39,PE,1594110168
293,pangnirtung,66.15,-65.71,44.6,74,99,2.64,CA,1594109750
294,manokwari,-0.87,134.08,80.17,79,100,1.48,ID,1594110168
295,turkan,40.36,50.22,98.6,22,0,6.93,AZ,1594110169
296,kalisz,51.76,18.09,62.01,65,47,5.01,PL,1594110169
297,lianran,24.92,102.48,86.0,61,75,17.9,CN,1594110169
298,manzil bu zalafah,36.68,10.58,80.6,42,0,21.92,TN,1594110169
299,acapulco,16.86,-99.89,79.21,77,100,10.92,MX,1594109741
300,maryville,35.76,-83.97,73.99,88,1,4.7,US,1594110170
301,tyup,42.73,78.36,71.82,25,0,8.59,KG,1594110170
302,chongwe,-15.33,28.68,62.6,48,89,10.29,ZM,1594110170
303,muros,42.78,-9.06,68.0,72,0,5.01,ES,1594109680
304,lima,-12.04,-77.03,60.8,82,90,10.29,PE,1594110045
305,port-cartier,50.03,-66.87,42.8,93,20,2.24,CA,1594110171
306,provideniya,64.38,-173.3,44.02,92,100,8.77,RU,1594109625
307,bethel,41.37,-73.41,66.99,93,90,5.82,US,1594109641
308,mount gambier,-37.83,140.77,51.8,81,90,4.7,AU,1594109829
309,havre-saint-pierre,50.23,-63.6,51.8,100,75,3.36,CA,1594110171
310,lampang,18.33,99.5,96.8,47,40,8.05,TH,1594110172
311,torquay,50.46,-3.51,60.01,83,0,1.99,GB,1594110172
312,flin flon,54.77,-101.86,55.65,66,0,5.59,CA,1594110172
313,aklavik,68.22,-135.01,42.8,87,20,9.17,CA,1594109653
314,machachi,-0.5,-78.57,57.2,87,75,3.36,EC,1594110172
315,waipawa,-41.41,175.52,53.6,76,28,8.05,NZ,1594109789
316,lodeynoye pole,60.73,33.55,70.5,59,99,8.01,RU,1594110173
317,bilibino,68.05,166.44,61.9,42,54,3.38,RU,1594110173
318,fortuna,40.6,-124.16,55.0,93,90,9.17,US,1594109777
319,zhezkazgan,47.8,67.71,80.6,34,75,8.95,KZ,1594110174
320,angoche,-16.23,39.91,77.18,66,78,11.39,MZ,1594110174
321,richards bay,-28.78,32.04,72.36,22,0,4.76,ZA,1594110174
322,taltal,-25.4,-70.48,55.0,69,91,1.57,CL,1594109752
323,ilulissat,69.22,-51.1,44.6,65,98,2.24,GL,1594109708
324,iqaluit,63.75,-68.51,46.4,87,90,4.09,CA,1594109754
325,nokaneng,-19.67,22.27,64.69,25,0,4.14,BW,1594110175
326,walvis bay,-22.96,14.51,57.0,93,0,5.82,NA,1594110175
327,hualmay,-11.1,-77.61,59.22,86,74,9.1,PE,1594109814
328,galeana,24.83,-100.07,63.63,76,0,2.93,MX,1594110176
329,clyde river,70.47,-68.59,39.2,93,90,6.93,CA,1594109711
330,pochutla,15.74,-96.47,73.0,92,100,6.93,MX,1594109830
331,luau,-10.71,22.22,69.33,28,36,5.59,AO,1594110177
332,santiago del estero,-27.8,-64.26,48.0,78,100,8.88,AR,1594110177
333,grahamstown,-33.3,26.53,64.0,73,99,11.01,ZA,1594110177
334,zhaodong,46.08,125.98,77.0,53,20,11.18,CN,1594110177
335,takoradi,4.88,-1.76,77.11,87,100,10.56,GH,1594110177
336,rusape,-18.53,32.13,67.32,32,0,1.9,ZW,1594110177
337,kokoda,-8.88,147.74,75.13,74,69,2.33,PG,1594110178
338,kilindoni,-7.91,39.67,77.02,73,56,19.64,TZ,1594110178
339,nandikotkur,15.87,78.27,91.38,50,99,15.05,IN,1594110178
340,huarmey,-10.07,-78.15,60.31,85,100,7.43,PE,1594109748
341,madimba,-10.4,40.33,77.0,61,20,23.04,TZ,1594110178
342,samarai,-10.62,150.67,77.36,83,97,16.6,PG,1594109725
343,matoury,4.85,-52.33,73.4,100,90,4.43,GF,1594110179
344,san quintin,30.48,-115.95,66.58,81,0,8.32,MX,1594110179
345,kuching,1.55,110.33,86.0,74,40,3.36,MY,1594109831
346,wanning,18.8,110.4,87.62,70,22,14.29,CN,1594110179
347,auburn,47.31,-122.23,59.0,76,40,6.93,US,1594110056
